enduse,CWF_Sector
Beef,Agriculture
Corn,Agriculture
Dairy,Agriculture
FiberCrop,Agriculture
FodderGrass,Agriculture
FodderHerb,Agriculture
MiscCrop,Agriculture
OilCrop,Agriculture
OtherGrain,Agriculture
PalmFruit,Agriculture
Pork,Agriculture
Poultry,Agriculture
Rice,Agriculture
RootTuber,Agriculture
SheepGoat,Agriculture
SugarCrop,Agriculture
Wheat,Agriculture
Fruits,Agriculture
Legumes,Agriculture
ManagedPasture,Agriculture
UnmanagedPasture,Agriculture
NutsSeeds,Agriculture
OilPalm,Agriculture
Soybean,Agriculture
Vegetables,Agriculture
comm others,Buildings
comm cooling,Buildings
resid cooling,Buildings
resid others,Buildings
resid heating,Buildings
comm heating,Buildings
urban processes,Buildings
agricultural energy use,Industry
cement,Industry
industrial energy use,Industry
industrial feedstocks,Industry
construction,Industry
construction energy use,Industry
N fertilizer,Industry
industrial processes,Industry
iron and steel,Industry
mining energy use,Industry
unconventional oil production,Industry
alumina,Industry
aluminum,Industry
chemical energy use,Industry
chemical feedstocks,Industry
construction feedstocks,Industry
other industry,Industry
desalinated water,Industry
industrial wastewater treatment,Industry
industrial water abstraction,Industry
industrial water treatment,Industry
irrigation water abstraction,Industry
municipal wastewater treatment,Industry
municipal water abstraction,Industry
municipal water distribution,Industry
municipal water treatment,Industry
other industrial energy use,Industry
other industrial feedstocks,Industry
refined liquids enduse,Industry
refined liquids industrial,Industry
municipal water,Industry
paper,Industry
ammonia,Industry
process heat cement CCS,Industry
waste biomass for paper,Industry
biomass,Land Use
crops,Land Use
forest,Land Use
grassland,Land Use
otherarable,Land Use
other natural,Land Use
pasture,Land Use
shrubland,Land Use
UnmanagedLand,Land Use
urban,Land Use
direct air capture,Tech CDR
CO2 removal,Tech CDR
biochar,Tech CDR
rock weathering,Tech CDR
direct ocean capture,Tech CDR
Freight Rail,Transport
Passenger Rail,Transport
2W and 3W,Transport
Bus,Transport
Car,Transport
Domestic Ship,Transport
Heavy truck,Transport
International Aviation,Transport
International Ship,Transport
Large Car and Truck,Transport
Light truck,Transport
Medium truck,Transport
Mini Car,Transport
Domestic Aviation,Transport
HSR,Transport
food processing,Industry
